Galaxy wrapper id	Total tool usage (usegalaxy.eu)	No. of tool users (2022-2023) (usegalaxy.eu)	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	https://usegalaxy.org	https://usegalaxy.org.au	https://usegalaxy.eu	https://usegalaxy.fr
askor			askor_de	AskoR links EdgeR and AskOmics								To update	https://github.com/askomics/askoR	Transcriptomics	askor_de	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/askor	https://github.com/genouest/galaxy-tools/tree/master/tools/askor	0.2	bioconductor-limma	3.58.1	(0/1)	(0/1)	(0/1)	(0/1)
baric_archive			baric_archive_rennes, baric_archive_toulouse	A data source tool to fetch data from a BARIC Archive server.								To update	https://www.cesgo.org/catibaric/	Data Source		genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/baric_archive	https://github.com/genouest/galaxy-tools/tree/master/tools/baric_archive	1.1.0			(0/2)	(0/2)	(0/2)	(2/2)
braker	109.0	17.0	braker	BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .								To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	2.1.6			(0/1)	(0/1)	(1/1)	(0/1)
braker3	567.0	10.0	braker3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes .	braker3	braker3		BRAKER3	BRAKER3 is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes	Genome annotation, Gene prediction	RNA-Seq, Genomics, Structure prediction, Sequence analysis	To update	https://github.com/Gaius-Augustus/BRAKER	Genome annotation	braker3	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/braker	https://github.com/genouest/galaxy-tools/tree/master/tools/braker3	3.0.8			(0/1)	(1/1)	(1/1)	(1/1)
feelnc2asko			feelnc2asko	Convert FeelNC GTF to GFF3								To update	https://github.com/tderrien/FEELnc	Convert Formats	feelnc2asko	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/feelnc2asko	https://github.com/genouest/galaxy-tools/tree/master/tools/feelnc2asko	0.1	perl-bioperl	1.7.8	(0/1)	(0/1)	(0/1)	(0/1)
gcms2isocor			gcms2isocor	Conversion from GCMS PostRun Analysis to Isocor								To update		Metabolomics	gcms2isocor	genouest		https://github.com/genouest/galaxy-tools/tree/master/tools/gcms2isocor	0.1.0	openjdk		(0/1)	(0/1)	(0/1)	(0/1)
get_pairs			get_pairs	Separate paired and unpaired reads from two fastq files								To update		Fastq Manipulation	get_pairs	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/get_pairs	https://github.com/genouest/galaxy-tools/tree/master/tools/get_pairs	0.3	python		(0/1)	(0/1)	(0/1)	(0/1)
helixer	93.0	1.0	helixer	Gene calling with Deep Neural Networks	helixer	helixer		Helixer	Deep Learning to predict gene annotations	Gene prediction, Genome annotation	Sequence analysis, Gene transcripts	To update	https://github.com/weberlab-hhu/Helixer	Genome annotation	helixer	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/helixer	https://github.com/genouest/galaxy-tools/tree/master/tools/helixer	0.3.3			(0/1)	(0/1)	(1/1)	(1/1)
logol			logol_wrapper	Logol is a pattern matching grammar language and a set of tools to search a pattern in a sequence								Up-to-date	http://logol.genouest.org/web/app.php/logol	Sequence Analysis		genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/logol	https://github.com/genouest/galaxy-tools/tree/master/tools/logol	1.7.8	logol	1.7.8	(0/1)	(0/1)	(0/1)	(0/1)
meneco			meneco	Meneco computes minimal completions to your draft network with reactions from a repair network								Up-to-date	http://bioasp.github.io/meneco/	Systems Biology	meneco	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/meneco	https://github.com/genouest/galaxy-tools/tree/master/tools/meneco	1.5.2	meneco	1.5.2	(0/1)	(0/1)	(0/1)	(0/1)
miranda2asko			miranda2asko	Converts miRanda output into AskOmics format								To update		Convert Formats	miranda2asko	genouest	https://github.com/genouest/galaxy-tools/tree/master/tools/miranda2asko	https://github.com/genouest/galaxy-tools/tree/master/tools/miranda2asko	0.2	perl		(0/1)	(0/1)	(0/1)	(0/1)
openlabcds2csv			openlabcds2csv	"Creates a summary of several ""Internal Standard Report"" OpenLabCDS results."								To update		Metabolomics	openlabcds2csv	genouest		https://github.com/genouest/galaxy-tools/tree/master/tools/openlabcds2csv	0.1.0	openjdk		(0/1)	(0/1)	(0/1)	(0/1)
peptimapper			peptimapper_clustqualify, peptimapper_clust_to_gff, peptimapper_pep_match, peptimapper_pep_novo_tag	Proteogenomics workflow for the expert annotation of eukaryotic genomes								To update	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-5431-9	Proteomics		genouest		https://github.com/genouest/galaxy-tools/tree/master/tools/peptimapper	2.0			(0/4)	(0/4)	(0/4)	(0/4)
Ensembl-REST			get_feature_info, get_genetree, get_sequences	A suite of Galaxy tools designed to work with Ensembl REST API.								To update	https://rest.ensembl.org	Data Source		earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/Ensembl-REST	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/Ensembl-REST	0.1.2	requests		(0/3)	(0/3)	(3/3)	(0/3)
GAFA			gafa	Gene Align and Family Aggregator								To update	http://aequatus.tgac.ac.uk	Visualization	gafa	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/GAFA/	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/GAFA	0.3.1			(0/1)	(0/1)	(1/1)	(0/1)
TreeBest			treebest_best	TreeBeST best	treebest	treebest		TreeBeST	TreeBeST, which stands for (gene) Tree Building guided by Species Tree, is a versatile program that builds, manipulates and displays phylogenetic trees. It is particularly designed for building gene trees with a known species tree and is highly efficient and accurate.TreeBeST is previously known as NJTREE. It has been largely used in the TreeFam database, Ensembl Compara and OPTIC database of Chris Ponting group.	Phylogenetic tree visualisation, Phylogenetic analysis, Phylogenetic inference (from molecular sequences)	Phylogenetics	To update	http://treesoft.sourceforge.net/treebest.shtml	Phylogenetics	treebest_best	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest	1.9.2.post0	treebest	1.9.2.post1	(0/1)	(0/1)	(1/1)	(0/1)
